ID,SAFRA,default,PAY_AMT1_trat,PAY_AMT2_trat,PAY_AMT3_trat,AVG_PAY_trat,PAY_0_trat
10911,200601,1,C2,C2,C2,C1,C0
12564,200602,0,C1,C1,C1,C0,C0
370,200510,1,C0,C1,C1,C0,C2
7703,200512,0,C1,C1,C1,C1,C0
7465,200512,0,C1,C0,C1,C0,C0
8309,200512,0,C0,C0,C0,C0,C0
19089,200604,0,C0,C1,C2,C1,C0
18305,200604,0,C1,C1,C1,C0,C0
15681,200603,0,C2,C2,C2,C2,C0
17214,200603,1,C0,C1,C2,C0,C1
12056,200602,0,C2,C1,C1,C1,C0
2494,200510,0,C1,C1,C2,C1,C0
5690,200511,0,C1,C0,C1,C0,C0
10595,200601,1,C1,C1,C0,C0,C0
11296,200601,1,C1,C1,C1,C0,C2
8941,200512,0,C2,C2,C2,C2,C0
19566,200604,0,C0,C0,C2,C1,C0
18823,200604,0,C1,C1,C0,C0,C0
7641,200512,0,C1,C1,C0,C0,C0
8306,200512,1,C1,C1,C2,C0,C0
7885,200512,0,C2,C1,C2,C1,C0
16028,200603,0,C0,C1,C1,C0,C1
19737,200604,0,C1,C1,C1,C1,C0
17396,200603,0,C1,C0,C2,C1,C2
5351,200511,1,C1,C1,C1,C0,C0
478,200510,0,C1,C2,C0,C1,C0
12403,200602,1,C1,C1,C1,C0,C0
9862,200601,0,C1,C0,C0,C2,C0
7192,200512,0,C1,C1,C1,C0,C0
14442,200602,0,C2,C2,C2,C1,C0
15856,200603,1,C2,C2,C0,C1,C2
4044,200511,1,C0,C1,C1,C0,C0
15120,200603,1,C1,C1,C1,C0,C1
214,200510,0,C1,C1,C0,C0,C0
19006,200604,0,C1,C2,C2,C1,C0
470,200510,0,C1,C2,C1,C1,C0
15573,200603,0,C1,C1,C1,C0,C0
8584,200512,0,C2,C2,C1,C1,C0
12754,200602,0,C1,C1,C1,C0,C1
1783,200510,0,C2,C1,C0,C1,C0
4272,200511,0,C1,C1,C1,C0,C0
1212,200510,0,C1,C1,C1,C0,C0
13626,200602,0,C2,C0,C1,C1,C0
15239,200603,0,C1,C1,C2,C1,C0
13882,200602,1,C0,C1,C1,C0,C1
12353,200602,1,C2,C2,C2,C2,C0
7593,200512,0,C1,C1,C1,C1,C0
19357,200604,0,C0,C1,C1,C0,C0
19000,200604,1,C2,C0,C2,C1,C0
20418,200604,0,C2,C1,C1,C0,C1
12613,200602,0,C1,C1,C1,C0,C0
3652,200511,0,C2,C2,C2,C1,C0
19664,200604,0,C2,C2,C2,C1,C0
9578,200601,0,C1,C1,C1,C0,C0
2653,200510,0,C2,C2,C2,C1,C0
19241,200604,0,C1,C1,C1,C1,C0
1977,200510,0,C2,C2,C0,C1,C0
19877,200604,0,C1,C2,C1,C1,C0
12157,200602,0,C1,C1,C1,C0,C0
1573,200510,0,C1,C1,C0,C0,C0
14942,200602,1,C1,C1,C1,C1,C2
12617,200602,0,C1,C1,C1,C1,C0
12567,200602,0,C1,C1,C1,C0,C0
15850,200603,0,C2,C1,C2,C1,C0
18280,200604,0,C2,C2,C2,C1,C0
18396,200604,0,C1,C1,C0,C0,C0
10373,200601,0,C2,C0,C0,C0,C0
449,200510,0,C2,C1,C1,C0,C0
12345,200602,1,C0,C1,C0,C0,C1
15442,200603,1,C1,C1,C2,C0,C0
16816,200603,0,C0,C0,C0,C0,C0
15760,200603,0,C1,C1,C0,C1,C2
15163,200603,0,C1,C1,C2,C2,C0
7094,200512,0,C2,C2,C2,C2,C2
14619,200602,0,C1,C2,C2,C1,C0
13551,200602,0,C1,C1,C1,C0,C0
3124,200511,0,C1,C1,C0,C0,C0
8052,200512,0,C0,C0,C0,C0,C1
10851,200601,1,C2,C2,C1,C1,C0
12293,200602,1,C2,C2,C2,C1,C0
16383,200603,1,C0,C0,C0,C0,C0
8274,200512,0,C1,C1,C0,C0,C0
13660,200602,0,C2,C2,C1,C2,C0
11741,200601,1,C0,C0,C0,C0,C0
7531,200512,1,C0,C0,C2,C1,C2
2305,200510,0,C1,C1,C1,C0,C0
19122,200604,0,C2,C2,C2,C1,C0
8047,200512,0,C0,C1,C1,C0,C2
12803,200602,1,C1,C2,C0,C1,C1
8945,200512,1,C0,C1,C2,C1,C2
6811,200512,0,C1,C1,C1,C0,C0
6552,200512,1,C1,C1,C2,C1,C0
18735,200604,0,C1,C1,C0,C0,C0
9592,200601,0,C1,C1,C1,C0,C0
3808,200511,0,C1,C1,C2,C1,C0
14159,200602,1,C1,C0,C1,C0,C0
6031,200512,0,C1,C1,C1,C0,C0
17148,200603,0,C1,C0,C2,C1,C0
