,id,safra,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,sum_bill,avg_bill,max_bill,sum_bill,avg_bill,max_bill
10910,10911,200601,220000,2,2,1,53,0,0,0,0,0,0,207592,212099,214669,173187,176496,169649,8165,6889,6033,6247,6142,6146,1153692.0,192282.0,214669.0,39622.0,6603.67,8165.0
12563,12564,200602,300000,2,1,2,31,0,0,0,-1,-1,-1,11158,1616,3658,658,662,0,1000,2700,658,662,0,0,17752.0,2958.67,11158.0,5020.0,836.67,2700.0
369,370,200510,20000,2,2,1,32,3,2,0,0,0,0,20631,20010,19703,11084,10918,10985,0,1168,384,390,632,616,93331.0,15555.17,20631.0,3190.0,531.67,1168.0
7702,7703,200512,410000,1,3,2,38,-1,-1,-1,-1,-1,-1,4822,232,2255,2546,2650,6286,233,2266,2558,2663,6303,12,18791.0,3131.83,6286.0,14035.0,2339.17,6303.0
7464,7465,200512,100000,2,2,2,25,0,0,0,-1,-1,-1,8791,4910,0,674,0,980,1000,0,674,0,980,4413,15355.0,2559.17,8791.0,7067.0,1177.83,4413.0
8308,8309,200512,80000,1,1,2,25,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19088,19089,200604,20000,2,2,2,27,-1,2,0,0,0,2,20556,19403,13536,17623,18662,10243,8,2072,15000,1500,0,10000,100023.0,16670.5,20556.0,28580.0,4763.33,15000.0
18304,18305,200604,50000,2,2,1,33,0,0,0,0,0,0,32752,34202,35242,34776,35497,36325,2000,1600,1600,1300,1400,1600,208794.0,34799.0,36325.0,9500.0,1583.33,2000.0
15680,15681,200603,220000,1,1,2,32,-1,-1,0,-1,-1,-1,13596,34661,29084,31770,3322,32528,34661,11000,31770,3322,32528,139961,144961.0,24160.17,34661.0,253242.0,42207.0,139961.0
17213,17214,200603,50000,2,2,1,24,1,2,0,0,2,2,12744,12243,16215,20490,19990,0,0,4200,4700,0,0,3390,81682.0,13613.67,20490.0,12290.0,2048.33,4700.0
12055,12056,200602,360000,2,1,1,52,-1,-1,-1,-1,-1,-1,7542,6302,4719,1577,1577,21220,6302,4719,1577,1577,21220,10744,42937.0,7156.17,21220.0,46139.0,7689.83,21220.0
2493,2494,200510,290000,2,2,1,32,0,0,0,0,0,0,78200,79726,80890,81615,75661,77012,3700,3600,3000,3000,3000,3000,473104.0,78850.67,81615.0,19300.0,3216.67,3700.0
5689,5690,200511,200000,1,2,2,37,-2,-2,-2,-2,-2,-2,162,536,0,495,0,0,536,0,495,0,0,546,1193.0,198.83,536.0,1577.0,262.83,546.0
10594,10595,200601,310000,2,1,1,34,-1,-1,-1,0,-1,-1,455,455,1415,883,883,1033,455,1415,0,883,1033,883,5124.0,854.0,1415.0,4669.0,778.17,1415.0
11295,11296,200601,130000,2,1,2,30,3,2,2,0,0,0,8830,9533,10220,10353,10636,10711,1000,1000,600,600,400,600,60283.0,10047.17,10711.0,4200.0,700.0,1000.0
8940,8941,200512,200000,2,3,1,67,0,0,0,0,0,0,188072,166668,159513,150852,151996,147690,17014,15019,15000,15000,10000,10000,964791.0,160798.5,188072.0,82033.0,13672.17,17014.0
19565,19566,200604,80000,2,2,1,47,-1,2,2,-1,-1,-1,4166,3908,0,3521,0,14206,0,0,3521,0,14206,7500,25801.0,4300.17,14206.0,25227.0,4204.5,14206.0
18822,18823,200604,360000,2,2,2,26,-1,-1,-1,-1,-2,-2,1968,459,2500,0,0,0,463,2500,0,0,0,0,4927.0,821.17,2500.0,2963.0,493.83,2500.0
7640,7641,200512,230000,1,1,2,32,-2,-2,-2,-2,-2,-2,2785,3943,3126,3126,500,500,1223,1000,0,0,0,0,13980.0,2330.0,3943.0,2223.0,370.5,1223.0
8305,8306,200512,30000,1,2,1,47,0,0,0,0,2,0,24422,25480,26425,30525,29063,29022,1455,1400,4500,0,1500,2000,164937.0,27489.5,30525.0,10855.0,1809.17,4500.0
7884,7885,200512,130000,1,2,2,33,0,0,0,0,0,0,114984,118641,119286,121377,123655,125917,5800,4400,4350,4500,4600,5000,723860.0,120643.33,125917.0,28650.0,4775.0,5800.0
16027,16028,200603,30000,2,2,2,41,1,2,0,0,0,0,25562,23250,23217,21295,19076,9292,0,1600,1500,1000,1720,0,121692.0,20282.0,25562.0,5820.0,970.0,1720.0
19736,19737,200604,110000,2,1,1,30,0,0,0,0,0,0,49069,14241,15205,16267,53869,54138,1600,1500,1400,38002,1415,1010,202789.0,33798.17,54138.0,44927.0,7487.83,38002.0
17395,17396,200603,80000,2,2,1,29,2,2,2,2,2,2,72674,74192,72464,76613,77908,76034,3300,0,6000,3100,0,4200,449885.0,74980.83,77908.0,16600.0,2766.67,6000.0
5350,5351,200511,20000,1,3,2,24,0,0,0,0,0,2,12188,12904,14217,14360,16140,16287,1220,1533,676,2177,559,0,86096.0,14349.33,16287.0,6165.0,1027.5,2177.0
477,478,200510,70000,2,2,1,37,0,0,0,2,0,0,66759,68200,72972,71248,50610,50809,2518,5950,0,1782,1985,2700,380598.0,63433.0,72972.0,14935.0,2489.17,5950.0
12402,12403,200602,270000,2,2,1,40,0,0,0,0,0,0,26183,24181,19543,17160,14818,12702,1826,1469,514,581,612,312,114587.0,19097.83,26183.0,5314.0,885.67,1826.0
9861,9862,200601,220000,1,3,1,58,0,0,0,-2,-2,-1,22599,23875,0,0,0,52884,1875,0,0,0,52884,105660,99358.0,16559.67,52884.0,160419.0,26736.5,105660.0
7191,7192,200512,20000,1,2,1,42,0,0,0,0,0,0,18317,18455,19399,19962,14938,3039,1500,1400,1009,307,1200,0,94110.0,15685.0,19962.0,5416.0,902.67,1500.0
14441,14442,200602,260000,1,1,3,41,0,0,0,0,0,0,253795,253126,253218,249770,243277,240576,9269,9090,9034,8521,10067,8100,1493762.0,248960.33,253795.0,54081.0,9013.5,10067.0
15855,15856,200603,150000,2,2,2,25,2,2,2,2,2,2,114074,116313,118700,115328,121084,123473,5600,5700,0,9200,4500,0,708972.0,118162.0,123473.0,25000.0,4166.67,9200.0
4043,4044,200511,160000,2,2,1,34,-1,-1,-1,-1,-1,-1,2734,0,625,406,338,0,0,625,406,338,0,0,4103.0,683.83,2734.0,1369.0,228.17,625.0
15119,15120,200603,20000,1,3,1,56,1,2,2,2,2,0,9453,10143,10730,12241,11748,12456,1000,900,2000,0,900,3200,66771.0,11128.5,12456.0,8000.0,1333.33,3200.0
213,214,200510,30000,1,2,2,39,0,0,0,2,0,0,28347,28108,18388,12992,7736,8032,3036,2309,0,1000,2000,148,103603.0,17267.17,28347.0,8493.0,1415.5,3036.0
19005,19006,200604,130000,2,2,2,29,0,0,0,0,0,0,113203,114053,117602,119119,120030,122510,4200,5800,5800,4300,4500,4500,706517.0,117752.83,122510.0,29100.0,4850.0,5800.0
469,470,200510,90000,2,1,1,41,-1,-1,-1,-1,-1,-1,6160,3274,6190,307,2870,670,3276,6246,307,2870,670,1362,19471.0,3245.17,6190.0,14731.0,2455.17,6246.0
15572,15573,200603,220000,1,2,1,55,-1,-1,-1,-1,-1,-1,757,757,3257,757,757,757,757,3257,757,757,757,907,7042.0,1173.67,3257.0,7192.0,1198.67,3257.0
8583,8584,200512,180000,2,2,2,25,0,0,0,2,0,0,169225,172888,182533,176099,178391,181986,7800,14010,4,6431,6600,6675,1061122.0,176853.67,182533.0,41520.0,6920.0,14010.0
12753,12754,200602,20000,2,1,2,23,1,-1,0,0,-1,-1,0,342,1342,1372,2037,1068,342,1000,30,2037,1218,462,6161.0,1026.83,2037.0,5089.0,848.17,2037.0
1782,1783,200510,160000,1,2,1,28,0,0,2,2,0,0,62312,66965,67648,66020,67386,68336,5856,2311,0,2377,2000,1881,398667.0,66444.5,68336.0,14425.0,2404.17,5856.0
4271,4272,200511,10000,1,2,2,21,0,0,0,0,-1,-1,6703,8422,9205,9393,4176,0,2000,1000,188,2538,0,0,37899.0,6316.5,9393.0,5726.0,954.33,2538.0
1211,1212,200510,160000,2,3,2,26,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,390,2340.0,390.0,390.0,2340.0,390.0,390.0
13625,13626,200602,250000,2,3,2,47,-2,-2,-2,-2,-2,-2,7363,27415,0,1930,1643,1687,27474,0,1930,1643,1687,0,40038.0,6673.0,27415.0,32734.0,5455.67,27474.0
15238,15239,200603,260000,2,2,2,34,0,0,0,0,0,0,40066,38115,38730,37947,40122,34751,2000,3030,5039,7000,3000,10000,229731.0,38288.5,40122.0,30069.0,5011.5,10000.0
13881,13882,200602,90000,2,1,2,29,1,2,0,0,0,0,9370,9078,10267,10350,10564,10771,0,1500,550,529,531,550,60400.0,10066.67,10771.0,3660.0,610.0,1500.0
12352,12353,200602,360000,2,2,1,35,0,-1,-1,-1,-1,-1,106010,24892,10772,21847,21835,9255,24976,10786,21916,21904,9261,22127,194611.0,32435.17,106010.0,110970.0,18495.0,24976.0
7592,7593,200512,30000,2,2,2,22,0,0,0,0,0,0,30719,30123,30112,26763,22303,24397,1900,1626,1267,766,10000,919,164417.0,27402.83,30719.0,16478.0,2746.33,10000.0
19356,19357,200604,270000,2,1,1,41,-1,-1,-1,-1,-1,-1,1278,-4,3564,1280,1898,0,0,3568,1280,1898,0,2605,8016.0,1336.0,3564.0,9351.0,1558.5,3568.0
