,id,y,safra,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,sum_bill,avg_bill,max_bill,sum_bill,avg_bill,max_bill
21000,21001,0,200605,30000,1,2,1,36,1,-1,-1,-1,0,0,0,780,0,1170,780,0,780,0,1170,0,0,0,2730.0,455.0,1170.0,1950.0,325.0,1170.0
21001,21002,1,200605,280000,1,3,1,40,2,0,0,0,0,0,178220,184848,188411,191291,189029,192023,10000,9000,8000,6738,6974,7600,1123822.0,187303.67,192023.0,48312.0,8052.0,10000.0
21002,21003,0,200605,260000,1,2,1,37,0,0,0,0,0,0,128602,118109,21557,23186,14117,15797,3203,6015,5055,2011,4078,4522,321368.0,53561.33,128602.0,24884.0,4147.33,6015.0
21003,21004,1,200605,200000,1,2,2,32,2,0,0,0,-2,-2,160106,162743,81890,0,0,0,7600,4000,0,0,0,0,404739.0,67456.5,162743.0,11600.0,1933.33,7600.0
21004,21005,1,200605,80000,1,2,2,32,2,0,0,0,0,2,79237,65301,67253,67352,74448,72928,3000,4005,2500,10000,0,5000,426519.0,71086.5,79237.0,24505.0,4084.17,10000.0
21005,21006,0,200605,200000,1,1,2,45,0,0,0,0,0,0,14027,16016,16905,11791,7983,6327,5006,3024,2017,173,1002,3197,73049.0,12174.83,16905.0,14419.0,2403.17,5006.0
21006,21007,0,200605,20000,1,5,1,28,0,0,0,-2,-2,-2,9278,10400,0,0,0,0,1400,0,0,0,0,0,19678.0,3279.67,10400.0,1400.0,233.33,1400.0
21007,21008,1,200605,200000,1,2,1,47,-1,-1,0,0,0,0,42114,227075,217016,200316,169815,88071,235728,10000,5210,4009,3186,55152,944407.0,157401.17,227075.0,313285.0,52214.17,235728.0
21008,21009,0,200605,60000,1,3,2,41,-1,-1,-1,-1,-1,-1,866,29123,26766,-1644,6398,5556,29687,30000,0,20009,10000,10000,67065.0,11177.5,29123.0,99696.0,16616.0,30000.0
21009,21010,0,200605,50000,1,2,1,38,0,0,0,0,0,0,46509,47072,47637,44429,27279,27318,2000,2000,2000,944,1118,1000,240244.0,40040.67,47637.0,9062.0,1510.33,2000.0
21010,21011,0,200605,50000,1,2,1,42,0,0,0,-1,0,0,1345,1545,-306,18394,18760,19166,1000,0,18700,663,700,820,58904.0,9817.33,19166.0,21883.0,3647.17,18700.0
21011,21012,0,200605,50000,1,2,2,41,0,0,0,0,0,0,50516,44187,20314,19707,19566,19916,2721,1750,1200,1000,1000,1000,174206.0,29034.33,50516.0,8671.0,1445.17,2721.0
21012,21013,1,200605,200000,1,3,2,43,3,2,2,2,2,2,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,15000.0,2500.0,2500.0,0.0,0.0,0.0
21013,21014,1,200605,130000,1,3,2,38,2,2,0,0,0,0,114726,107602,106907,94152,96365,97413,20,4544,3200,3500,3585,2519,617165.0,102860.83,114726.0,17368.0,2894.67,4544.0
21014,21015,1,200605,130000,1,2,2,41,0,0,0,0,0,0,131762,106130,66523,55678,20290,14802,3466,2781,1702,602,492,515,395185.0,65864.17,131762.0,9558.0,1593.0,3466.0
21015,21016,1,200605,50000,1,2,2,32,-1,2,2,-1,-1,-2,780,390,0,780,0,0,0,0,780,0,0,0,1950.0,325.0,780.0,780.0,130.0,780.0
21016,21017,1,200605,160000,1,1,2,33,2,2,2,0,0,0,146129,158066,156898,154725,115841,111615,15000,4000,8000,4000,4000,4000,843274.0,140545.67,158066.0,39000.0,6500.0,15000.0
21017,21018,1,200605,50000,1,2,2,32,1,2,2,0,0,0,48793,50194,49101,47549,48817,45928,2500,0,1800,2000,2000,2000,290382.0,48397.0,50194.0,10300.0,1716.67,2500.0
21018,21019,0,200605,10000,1,2,2,46,0,0,0,0,0,0,8866,9844,9319,18202,9287,0,1143,1218,1000,372,0,0,55518.0,9253.0,18202.0,3733.0,622.17,1218.0
21019,21020,0,200605,200000,1,2,2,35,0,0,0,0,0,0,87750,89618,91499,93317,96110,98906,3000,3000,3000,4000,4000,5000,557200.0,92866.67,98906.0,22000.0,3666.67,5000.0
21020,21021,0,200605,360000,1,1,2,38,-2,-2,-2,-2,-2,-2,12325,14118,38645,5235,4710,6392,14123,38722,5235,4710,6392,12576,81425.0,13570.83,38645.0,81758.0,13626.33,38722.0
21021,21022,0,200605,230000,1,1,1,37,-2,-2,-2,-2,-2,-2,1464,1742,3267,800,2458,1880,1742,3267,800,2458,1880,2414,11611.0,1935.17,3267.0,12561.0,2093.5,3267.0
21022,21023,0,200605,200000,1,1,2,34,-1,-1,-2,-2,-1,-1,3253,3969,-8,2315,4255,2010,4005,326,2323,4264,2028,1857,15794.0,2632.33,4255.0,14803.0,2467.17,4264.0
