,y
10910,1
12563,0
369,1
7702,0
7464,0
8308,0
19088,0
18304,0
15680,0
17213,1
12055,0
2493,0
5689,0
10594,1
11295,1
8940,0
19565,0
18822,0
7640,0
8305,1
7884,0
16027,0
19736,0
17395,0
5350,1
477,0
12402,1
9861,0
7191,0
14441,0
15855,1
4043,1
15119,1
213,0
19005,0
469,0
15572,0
8583,0
12753,0
1782,0
4271,0
1211,0
13625,0
15238,0
13881,1
12352,1
7592,0
19356,0
18999,1
20417,0
12612,0
3651,0
19663,0
9577,0
2652,0
19240,0
1976,0
19876,0
12156,0
1572,0
14941,1
12616,0
12566,0
15849,0
18279,0
18395,0
10372,0
448,0
12344,1
15441,1
16815,0
15759,0
15162,0
7093,0
14618,0
13550,0
3123,0
8051,0
10850,1
12292,1
16382,1
8273,0
13659,0
11740,1
7530,1
2304,0
19121,0
8046,0
12802,1
8944,1
6810,0
6551,1
18734,0
9591,0
3807,0
14158,1
6030,0
17147,0
4759,0
11645,0
1189,0
20384,1
18571,0
2783,0
7008,0
16366,0
20687,0
12397,0
11435,1
790,0
20767,1
12745,0
12554,0
6194,0
9980,0
16227,0
16248,0
16146,0
17378,0
9307,1
13183,0
14161,1
12774,1
695,0
20608,0
5893,0
1134,0
6872,0
4581,1
12309,1
10072,0
16902,0
16578,1
20480,1
12280,0
17659,0
5783,0
1335,0
15991,0
13909,0
1494,0
3245,0
5942,0
3780,0
1962,0
20017,0
11724,0
18624,0
17286,0
9579,0
19968,0
1717,1
2365,1
10288,0
6731,0
18413,0
4771,0
17394,0
5567,0
20836,0
3777,0
12932,0
8945,0
5111,1
495,0
4055,0
1273,0
17775,1
14368,0
2950,0
5238,0
3402,1
9161,0
11047,0
10722,1
3811,1
2542,0
7290,0
17667,1
17441,1
10824,0
5471,1
8655,0
4221,1
6386,1
14412,0
13382,0
17755,0
12853,0
12885,0
20390,0
736,0
6975,0
3479,0
3428,0
3225,0
8703,0
8182,1
20137,0
7349,1
6771,0
10119,0
1255,0
18158,1
19368,0
9681,0
20628,1
1704,0
20774,1
130,0
2900,0
15805,0
20642,0
10547,1
6470,0
14399,0
3883,0
4711,0
17746,1
11837,1
13813,0
1240,0
19116,0
2292,1
9531,1
18915,0
4986,0
19440,0
19209,0
4374,1
13486,0
7506,1
11347,0
11971,1
17322,0
20378,0
1753,0
19079,0
20899,0
3248,0
18211,0
20233,0
3487,0
12999,1
8469,1
10244,0
3518,0
9928,0
16841,0
5619,0
18850,0
19276,0
6602,0
1306,0
11024,0
5558,1
8402,0
6784,0
7287,0
20830,0
8183,0
1069,0
13784,0
745,0
2045,1
7114,0
17259,0
5920,1
218,0
12162,1
10724,0
20026,1
12473,0
11814,0
2443,0
1367,1
15352,0
4395,0
2473,0
5685,0
7143,1
16279,0
12743,0
306,0
20959,0
4525,0
15697,0
14740,0
2503,1
11880,0
11234,1
19900,0
12708,0
13033,0
16108,0
2858,1
11175,0
6818,0
5763,0
9321,0
17089,0
17402,1
16834,1
7452,1
17332,0
345,0
10890,1
13130,0
16264,1
13716,0
2427,1
209,0
18821,1
7840,0
14431,0
15825,0
12994,0
2373,0
5933,0
2007,0
18092,1
5226,0
3660,0
13266,1
11530,0
7175,0
14646,0
18963,1
17076,1
18661,0
11738,1
9795,1
2200,1
1736,1
20861,0
5462,0
1859,0
18288,0
4693,1
3521,0
8470,1
12702,0
19938,0
10968,1
45,1
2889,0
1743,0
11145,0
17098,0
14296,0
14250,0
18690,0
18579,0
2006,0
5753,1
8948,1
14157,0
19970,0
6624,0
4133,1
16688,1
2407,1
11497,1
8202,0
12101,0
9043,1
16610,0
3896,0
18017,0
7424,0
7597,1
7782,1
12411,0
8707,1
19661,0
1130,1
12231,0
276,1
8363,0
19286,0
4339,0
6050,0
20411,0
8349,0
13390,1
1537,0
13161,0
19725,0
4922,0
17301,0
18135,1
13795,0
19937,1
8174,1
8674,0
15252,1
3127,0
9356,1
19173,0
8468,1
11890,0
961,0
14937,0
13432,1
13971,0
18118,0
20055,0
1558,1
1959,0
1603,0
18616,0
10221,0
20327,0
10498,0
12982,0
15669,0
11816,0
14921,0
9659,0
12855,0
20454,0
7716,0
16462,0
6660,0
16537,0
20779,0
16921,0
2736,0
5218,1
14150,1
2969,0
2883,0
3606,0
8866,0
230,0
17839,0
5398,1
2383,0
18669,0
20442,0
7788,1
8254,0
15518,0
6336,0
3656,0
13611,0
11176,0
14099,0
17268,0
13127,1
13001,0
7443,1
16096,0
4716,0
16989,0
11632,0
6664,0
12935,1
13578,1
17008,0
18062,1
6366,1
15614,0
10032,1
2301,1
10908,0
16642,0
3552,0
4235,1
1567,0
19622,1
7129,0
10360,1
7081,1
16468,0
10317,0
16969,1
3984,0
20101,0
7375,0
2320,0
17412,0
12236,1
11913,1
12893,0
11984,1
20487,0
1592,0
2787,1
1012,0
17514,0
17594,0
16078,1
2054,0
11221,0
15014,0
16901,0
14717,0
6965,0
16894,1
18045,0
7825,0
6055,1
4849,0
7870,0
14992,0
6878,0
6496,0
12145,0
2569,0
5003,0
13519,0
6524,0
